name,Region Abbreviation,Region Name,Sanitation Percentage,Water Access Percentage
National Capital Region,NCR,National Capital Region,84,99.3
Cordillera Administrative Region,CAR,Cordillera Administrative Region,85.7,98.5
Ilocos,I,Ilocos Region,88.6,98.9
Cagayan Valley,II,Cagayan Valley,90.8,99.1
Central Luzon,III,Central Luzon,92.5,99.3
Calabarzon,IV-A,CALABARZON,90.4,99
Mimaropa,IV-B,MIMAROPA Region,84.7,95.7
Bicol,V,Bicol,80.3,90.1
Western Visayas,VI,Western Visayas,81.4,92
Central Visayas,VII,Central Visayas,76.3,90.3
Eastern Visayas,VIII,Eastern Visayas,78.5,91.4
Zamboanga Peninsula,IX,Zamboanga Peninsula,74.6,90.2
Northern Mindanao,X,Northern Mindanao,77.3,92.5
Davao,XI,Davao Region,78.2,91.2
Soccsksargen,XII,SOCCSKSARGEN,73.8,89.7
Caraga,XIII,Caraga,89.3,88.3
Autonomous Region in Muslim Mindanao,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,51.6,87.8
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Central Visayas,,,,
Western Visayas,,,,
Soccsksargen,,,,
